Mean Gap Score Difference	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	IntraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	ExtraDomainWord	Gensim Computed Outsider	Right Computer Outsider	Occurences W0	Occurences W1	Occurences W2	Occurences W3	Occurences W4	Occurences W5	Occurences W6	Occurences W7	Occurences W8	Occurences W9	Occurences W10	Occurences W11	Occurences W12	Occurences W13	Occurences W14	Occurences W15	Occurences W16	Occurences W17	Occurences W18	Occurences W19	Most similar word to W0	Most similar word to W1	Most similar word to W2	Most similar word to W3	Most similar word to W4	Most similar word to W5	Most similar word to W6	Most similar word to W7	Most similar word to W8	Most similar word to W9	Most similar word to W10	Most similar word to W11	Most similar word to W12	Most similar word to W13	Most similar word to W14	Most similar word to W15	Most similar word to W16	Most similar word to W17	Most similar word to W18	Most similar word to W19
-0.010659722902274626	προσοχθίζω	θυμόομαι	θυμομαχέω	ὀργή	χολάω	ὀργίζομαι	θυμός	ὀργίλος	παροργισμός	παροργίζω	ἰσχύς	δυνατέω	δυναμόω	ἰσχύω	σθενόω	δύναμαι	ἐνδυναμόω	δύναμις	ἐξισχύω	κατισχύω	ἐνδυναμόω	1	23	1	1	339	1	9	351	5	8	60	373	3	6	134	1	543	8	710	1	108	Λούκιος ; 0.5205336809158325	ἄκλητος ; 0.5462206602096558	διό ; 0.5171289443969727	Αχιου ; 0.5084210634231567	Ἰδούηλος ; 0.5850134491920471	ιαμιβιν ; 0.5314799547195435	ἐκδίκησις ; 0.6121739745140076	Μακαλων ; 0.5331694483757019	Ἁλικαρνασσός ; 0.5595587491989136	ἐπιτήδευμα ; 0.6636840105056763	συνωδίνω ; 0.5198022127151489	Φεννανα ; 0.5161044001579285	ῥύδη ; 0.5406605005264282	σαρκικός ; 0.5410048961639404	Βωραζη ; 0.5111566781997681	Βαλδαδ ; 0.5068279504776001	δώδεκα ; 0.5194702744483948	βραδύς ; 0.5594459176063538	δώρημα ; 0.5666987895965576	ἐπάνωθε ; 0.5119492411613464
-0.04499773444859173	διαυγάζω	λάμπω	ἐπιφαύσκω	ἐπιφώσκω	φῶς	ἐκλάμπω	φέγγος	ἐπιφαίνω	φωτίζω	φαίνω	χρηματίζω	δηλόω	ξένος	ἐπίσημος	ἀποκάλυψις	αὐγάζω	φανέρωσις	φανερός	χρηματισμός	ἀποκαλύπτω	δηλόω	1	1	13	4	2	248	8	28	27	51	97	20	44	34	11	21	8	2	36	4	137	φιλαργυρία ; 0.553731381893158	σκέλος ; 0.5341498851776123	σωφρονέω ; 0.49501997232437134	καταπήγνυμι ; 0.49193722009658813	δίκη ; 0.8052040338516235	βολίς ; 0.5683382749557495	ῥᾳθυμέω ; 0.5361450910568237	ἀνάπτω ; 0.548366904258728	ὑποφέρω ; 0.9341151118278503	Σωφιρα ; 0.4902457594871521	Βηθαχαρμ ; 0.5241063237190247	ἐρωτάω ; 0.6181132197380066	Χαφαρσαλαμα ; 0.4849066436290741	ἐκβοάω ; 0.5030608177185059	Σιραχ ; 0.5044577121734619	Ἀσταρτεῖον ; 0.5372142195701599	προηγορέω ; 0.536586582660675	Ραμεν ; 0.4998065233230591	κατασύρω ; 0.5094021558761597	ἀδικέω ; 0.8171015977859497
-0.0014316423424572955	ἀνάστασις	ζάω	ἔγερσις	ζῳοποιέω	ἐξανάστασις	συζωοποιέω	συνεγείρω	ζῳογονέω	ἐξεγείρω	ἀναζάω	κοιτών	γαζοφυλάκιον	ἀνάγαιον	θησαυρός	νυμφών	οἴκημα	ὑπερῷον	κορβανᾶς	ταμεῖον	ξενία	ἐξανάστασις	0	48	699	4	11	2	2	6	3	73	2	16	30	2	110	7	4	33	1	4	4	μέτοχος ; 0.5466960668563843	οἴκος ; 0.5872635841369629	ἀφηρέομαι ; 0.5118420124053955	Δαλματία ; 0.5557599067687988	Φεριδα ; 0.501636803150177	Ουσα ; 0.5447248816490173	γοητεία ; 0.5334781408309937	ἔνυστρον ; 0.5941565036773682	Ιωασαρ ; 0.5362827777862549	Δαβωρ ; 0.5377566814422607	ἑξῆς ; 0.5116689205169678	ἀναλημπτήρ ; 0.5482310056686401	πτερνισμός ; 0.522856593132019	εἰσφέρω ; 0.8150025010108948	πάρδαλις ; 0.4903305470943451	τάλαντον ; 0.4988418519496918	ἔνδικος ; 0.5092012882232666	δυνάστευμα ; 0.5143043398857117	οἰνοφλυγία ; 0.5031479597091675	αἶνος ; 0.5059381127357483
-0.02070845091321355	εὐγενής	ἐξοχή	μεγαλειότης	μεγιστάν	μεγαλωσύνη	πρωτοστάτης	πρωτεύω	κυρία	ἐπιστάτης	ὑπεροχή	οἰκέω	παροικέω	κατοικέω	κατοικία	οἰκητήριον	ἐγκατοικέω	ἐνοικέω	κατοικητήριον	περιοικέω	κατοίκησις	πρωτεύω	0	11	1	7	53	36	2	4	10	20	7	158	73	723	37	3	1	46	22	1	11	ἀριστεύω ; 0.549126148223877	προκαλέομαι ; 0.5194153785705566	κατατάσσω ; 0.5081893801689148	κατασπεύδω ; 0.5177646279335022	Ἑλληνίς ; 0.5354486107826233	Περσική ; 0.5190352201461792	Νεεμια ; 0.5945594310760498	δοτός ; 0.5506114959716797	ἔρευνα ; 0.6117867231369019	ὀργίλως ; 0.6029008626937866	ἐκμετρέω ; 0.5160985589027405	Σεϊραμ ; 0.5328294634819031	παρακελεύω ; 0.5404446125030518	Βαζες ; 0.5558803081512451	εἶδον ; 0.5302896499633789	Δησων ; 0.5578051209449768	ἀτεκνόω ; 0.5435829162597656	Σίκιμα ; 0.559413731098175	γεωργέω ; 0.5383952856063843	συμφλέγω ; 0.5353682041168213
0.0007088187704312188	ὀλοθρεύω	ἀπόλλυμι	φθορά	ἀπώλεια	πορθέω	φθείρω	συναπόλλυμαι	ὄλεθρος	ἐξολεθρεύω	ὀλοθρευτής	ἐπιφωνέω	προσαγωγή	λέγω	λαλέω	φθέγγομαι	προσλαλέω	ἀποφθέγγομαι	ἐκλαλέω	ἀναφωνέω	φημί	λέγω	1	1	468	20	140	5	29	1	28	221	1	7	3	4491	1487	18	4	9	2	6	140	κωμόπολις ; 0.5401728749275208	λογεῖον ; 0.5282543897628784	διαφθείρω ; 0.9608154296875	ἐναφίημι ; 0.6116716861724854	προσαναλίσκω ; 0.539785623550415	κηδεία ; 0.47558772563934326	Αδραζαρ ; 0.5268872976303101	Ναζαρά ; 0.5742046236991882	Ναγγαί ; 0.4888019561767578	Σαβχια ; 0.6197411417961121	Ιαλων ; 0.5044231414794922	Γερρηνοί ; 0.5843104124069214	ἄγαμος ; 0.5555391907691956	τηγάνος ; 0.5913315415382385	Σαραα ; 0.5545008182525635	ἀναποδίζω ; 0.5439732074737549	στήλη ; 0.8391120433807373	ῥοῦς ; 0.5842708945274353	εὐωδία ; 0.5061324238777161	ἔπαρχος ; 0.4914465546607971
-0.013952821545377025	λύκος	ἀγέλη	ἄρκος	κτῆνος	θρέμμα	ὑποζύγιον	ζῷον	θηρίον	ἀλώπηξ	τετράπους	δυναμόω	δυνατέω	ἰσχύς	κατισχύω	σθενόω	δύναμαι	ἐνδυναμόω	ἐξισχύω	δύναμις	ἰσχύω	δύναμαι	1	15	17	18	266	1	31	61	211	13	16	6	3	373	108	1	543	8	1	710	134	εὐγενῶς ; 0.6110161542892456	Γολιαδ ; 0.5190079212188721	ἐπισκηνόω ; 0.5022896528244019	παραπλέω ; 0.49274781346321106	ἀποδιορίζω ; 0.4822385609149933	μόσχος ; 0.8940612077713013	ὀσφρασία ; 0.5209065079689026	ἄγριος ; 0.9495820999145508	ἀπηλιώτης ; 0.4905865490436554	ἐνάλλομαι ; 0.5556530952453613	ῥύδη ; 0.5406605005264282	Φεννανα ; 0.5161044001579285	συνωδίνω ; 0.5198022127151489	ἐπάνωθε ; 0.5119492411613464	Βωραζη ; 0.5111566781997681	Βαλδαδ ; 0.5068279504776001	δώδεκα ; 0.5194702744483948	δώρημα ; 0.5666987895965576	βραδύς ; 0.5594459176063538	σαρκικός ; 0.5410048961639404
-0.008532210371998417	θέρος	ἔτος	παραχειμασία	τριετία	ἐνιαυτός	παραχειμάζω	διετής	χειμών	φθινοπωρινός	διετία	ἀμφιέννυμι	ἐνδιδύσκω	περίθεσις	ἀμφιάζω	ἱματίζω	ἐνδύω	περιβάλλω	ἐγκομβόομαι	ἐπενδύομαι	σπαργανόω	ἱματίζω	1	11	767	1	1	168	4	2	13	1	2	5	4	1	3	2	147	94	1	2	4	ψευδοθύριον ; 0.5752794146537781	ὀγδοήκοντα ; 0.5624712705612183	εἰσδύω ; 0.5256843566894531	κηδεμονία ; 0.5107035040855408	καρπίζομαι ; 0.80533766746521	Ρηχαβ ; 0.5701123476028442	Ναφισι ; 0.5175304412841797	Κεδελ ; 0.5447143316268921	Ἀράμ ; 0.587877631187439	Σεμαα ; 0.5533758997917175	ἀγριομυρίκη ; 0.6009358763694763	καταφθείρω ; 0.549675703048706	ἀπόθεσις ; 0.5268998742103577	βδέλυγμα ; 0.5288114547729492	παιδιά ; 0.6045454144477844	Οββια ; 0.5369966626167297	αἰσχύνη ; 0.960617184638977	Χελκιος ; 0.577339768409729	προσχέω ; 0.5162293910980225	Μασαια ; 0.5180500745773315
-0.07222671040645828	σπείρω	γεωργός	ἀροτριάω	γεωργέω	σπόριμος	ἐκριζόω	ἐπισπείρω	ἐγκεντρίζω	ἀμάω	φυτεύω	σφαγή	ἀναίρεσις	ἀποκτείνω	κατασφάζω	σφάζω	κοπή	καταστρώννυμι	ἀναιρέω	διαχειρίζομαι	θανατόω	διαχειρίζομαι	1	113	28	18	4	5	14	1	7	6	61	27	5	317	12	94	5	10	112	2	171	ἀμάω ; 0.9717330932617188	μακαρίως ; 0.5623767971992493	ὀπωροφυλάκιον ; 0.7245451211929321	περιοικέω ; 0.5383952856063843	μέλαθρον ; 0.5792725086212158	Εγλι ; 0.4793694019317627	ὁλοτελής ; 0.4611887037754059	κοιτών ; 0.49590688943862915	πιέζω ; 0.9813963174819946	ἐλαιών ; 0.9396185278892517	Γοδολια ; 0.5382206439971924	Ιασων ; 0.5438666343688965	εὐάλωτος ; 0.5282674431800842	καθαίρεσις ; 0.4786252975463867	κραυγάζω ; 0.5116333961486816	κόπτω ; 0.6644513010978699	οἰκοδεσποτέω ; 0.5367071628570557	Σαραθαῖοι ; 0.5524212121963501	κατατίθημι ; 0.5298396944999695	Ιεσσια ; 0.5429391264915466
0.07339885712622302	δέκα	τρεῖς	τέσσαρες	πέντε	ὀκτώ	εἷς	δύο	ἑπτά	ἐννέα	ἕξ	εὐκαιρέω	εὐκαίρως	καιρός	ἀκαιρέομαι	πότε	ὥρα	εὔκαιρος	ἀκαίρως	προθεσμία	εὐκαιρία	καιρός	1	351	445	289	316	91	1376	830	465	48	147	3	3	570	1	66	180	7	2	1	7	μακρότερον ; 0.5157086849212646	κατατοξεύω ; 0.5073308944702148	προμαχών ; 0.496051162481308	ὀγδοήκοντα ; 0.5206717252731323	Εγλωμ ; 0.5551621913909912	δικαιοκρισία ; 0.5545642375946045	χορδή ; 0.508704662322998	λήθη ; 0.558080792427063	φαύλισμα ; 0.5561208128929138	πάλιν ; 0.6520429849624634	Ἑσλί ; 0.5233187675476074	περιτίθημι ; 0.5301152467727661	πανδημεί ; 0.5023015141487122	ἐντρέπω ; 0.5543787479400635	ἐπισκοπός ; 0.4696542024612427	τροπέω ; 0.9382816553115845	γογγύζω ; 0.5274862051010132	Ασγαδ ; 0.5010397434234619	διαλοιδόρησις ; 0.5069315433502197	Χωζηβα ; 0.5355650186538696
-0.0025990278875002715	κοιτών	ταμεῖον	ὑπερῷον	ἀνάγαιον	κορβανᾶς	γαζοφυλάκιον	νυμφών	ξενία	θησαυρός	οἴκημα	βάτος	ἀκάνθινος	ἄκανθα	βοτάνη	χλωρός	χόρτος	σίναπι	τρίβολος	ἄψινθος	κάλαμος	βοτάνη	1	16	4	33	2	1	30	7	4	110	4	13	3	45	17	19	64	5	6	1	40	ἑξῆς ; 0.5116689205169678	οἰνοφλυγία ; 0.5031479597091675	ἔνδικος ; 0.5092012882232666	πτερνισμός ; 0.522856593132019	δυνάστευμα ; 0.5143043398857117	ἀναλημπτήρ ; 0.5482310056686401	πάρδαλις ; 0.4903305470943451	αἶνος ; 0.5059381127357483	εἰσφέρω ; 0.8150025010108948	τάλαντον ; 0.4988418519496918	Τωβιαν ; 0.5235743522644043	Ζουκαν ; 0.5129335522651672	δειλαίνω ; 0.5596483945846558	ὑπερδυναμόω ; 0.48702067136764526	Ιααιμ ; 0.5238192081451416	σπερματίζω ; 0.4895944893360138	Χενερεθ ; 0.5334470868110657	Μωαβ ; 0.4896632432937622	θαυ ; 0.5103254318237305	Δαβρι ; 0.5459073781967163
