File	Thibault Correct	Gensim Correct	Thibault Average
refined_additional_results/data.transformed.sup-cut.Full.pretrained.1500e.10w.s30.tsv	79	52	0.11984589652818244
results/data.transformed.com-cut.Full.pretrained.1500e.10w.s50.tsv	61	44	0.06084896538084417
results_second_test_corpus/data.transformed.sup-cut.Full.pretrained.1500e.20w.s50.tsv	69	41	0.05372087652202707
results/data.transformed.com-cut.Full.1500e.s50.tsv	65	7	0.06646034386245148
refined_additional_results/data.transformed.half-cut.Full.1500e.10w.s30.tsv	73	54	0.10463414522006524
results_second_test_corpus/data.transformed.no-cut.Full.txt.pretrained.1500e.s50.tsv	75	53	0.07662094212905383
results/data.transformed.no-cut.Full.txt.1500e.20w.s200.tsv	50	7	0.011234953860758616
refined_additional_results/data.transformed.com-cut.Full.1500e.10w.s80.tsv	57	40	0.04499452472824914
results/data.transformed.com-cut.Full.1500e.20w.s200.tsv	54	7	0.023595796471413803
results/data.transformed.half-cut.Full.pretrained.1500e.s50.tsv	69	44	0.06775051272038561
results_second_test_corpus/data.transformed.half-cut.Full.pretrained.1500e.10w.tsv	60	33	0.03663110716644177
results_second_test_corpus/data.transformed.no-cut.Full.txt.pretrained.1500e.s200.tsv	63	51	0.03747514146676961
results/data.transformed.com-cut.Full.1500e.20w.s50.tsv	60	7	0.03564814237503495
results/data.transformed.sup-cut.Full.1500e.tsv	63	7	0.06710419814915534
refined_additional_results/data.transformed.half-cut.Full.1500e.s30.tsv	76	54	0.10854523293479444
results/data.transformed.half-cut.Full.1500e.20w.s200.tsv	57	7	0.024561808557918983
results_second_test_corpus/data.transformed.com-cut.Full.pretrained.1500e.10w.s200.tsv	64	46	0.03766827658713786
results/data.transformed.sup-cut.Full.pretrained.1500e.s50.tsv	67	48	0.08431722723711942
results_second_test_corpus/data.transformed.com-cut.Full.pretrained.1500e.10w.tsv	60	37	0.036290122515846956
results_second_test_corpus/data.transformed.com-cut.Full.pretrained.1500e.tsv	65	43	0.05083979811502862
refined_additional_results/data.transformed.sup-cut.Full.1500e.10w.s30.tsv	78	55	0.13106429310424061
refined_additional_results/data.transformed.half-cut.Full.pretrained.1500e.10w.s80.tsv	64	41	0.046210671617654596
results/data.transformed.no-cut.Full.txt.1500e.s50.tsv	60	7	0.051093872481392445
results/data.transformed.sup-cut.Full.1500e.s50.tsv	67	7	0.08431722723711942
results_second_test_corpus/data.transformed.half-cut.Full.pretrained.1500e.s50.tsv	69	52	0.06956153744672733
results/data.transformed.no-cut.Full.txt.pretrained.1500e.s200.tsv	59	39	0.022360157210883132
results_second_test_corpus/data.transformed.com-cut.Full.pretrained.1500e.10w.s50.tsv	63	43	0.050564908344083975
results/data.transformed.com-cut.Full.1500e.s200.tsv	63	7	0.03413336400342194
refined_additional_results/data.transformed.half-cut.Full.pretrained.1500e.s30.tsv	74	58	0.12080212744930188
results/data.transformed.sup-cut.Full.1500e.20w.tsv	53	7	0.04127936296308338
results/data.transformed.sup-cut.Full.pretrained.1500e.s200.tsv	61	44	0.06050897422521446
results/data.transformed.half-cut.Full.pretrained.1500e.10w.s50.tsv	64	43	0.058951662768256384
refined_additional_results/data.transformed.half-cut.Full.pretrained.1500e.10w.s30.tsv	69	45	0.08885372076294523
results_second_test_corpus/data.transformed.sup-cut.Full.pretrained.1500e.20w.tsv	68	44	0.0520538973851965
refined_additional_results/data.transformed.no-cut.Full.txt.pretrained.1500e.10w.s30.tsv	73	52	0.09277996383737946
results/data.transformed.half-cut.Full.pretrained.1500e.10w.tsv	58	36	0.02966641859030819
refined_additional_results/data.transformed.half-cut.Full.1500e.s80.tsv	73	51	0.07053313840159028
results/data.transformed.half-cut.Full.1500e.s200.tsv	63	7	0.033557417258978005
results/data.transformed.com-cut.Full.pretrained.1500e.20w.s200.tsv	54	39	0.023595796471413803
results_second_test_corpus/data.transformed.half-cut.Full.pretrained.1500e.10w.s50.tsv	64	41	0.03972776445231305
refined_additional_results/data.transformed.com-cut.Full.pretrained.1500e.10w.s30.tsv	73	49	0.10197598438615685
results_second_test_corpus/data.transformed.half-cut.Full.pretrained.1500e.20w.tsv	63	42	0.0345003602847557
results/data.transformed.sup-cut.Full.pretrained.1500e.20w.s200.tsv	53	33	0.024126577748037663
results/data.transformed.half-cut.Full.pretrained.1500e.tsv	69	45	0.04681278635295869
results_second_test_corpus/data.transformed.no-cut.Full.txt.pretrained.1500e.10w.s200.tsv	64	36	0.02963007848230652
results/data.transformed.no-cut.Full.txt.1500e.20w.tsv	55	7	0.013951788669307113
refined_additional_results/data.transformed.no-cut.Full.txt.1500e.s30.tsv	57	27	0.01678527791471111
results/data.transformed.half-cut.Full.pretrained.1500e.20w.tsv	55	40	0.023996951052312258
results/data.transformed.sup-cut.Full.pretrained.1500e.10w.tsv	64	37	0.050619041133335714
results/data.transformed.no-cut.Full.txt.1500e.s200.tsv	59	7	0.022360157210883132
results_second_test_corpus/data.transformed.no-cut.Full.txt.pretrained.1500e.tsv	73	48	0.05533127448624018
results_second_test_corpus/data.transformed.sup-cut.Full.pretrained.1500e.10w.s200.tsv	63	43	0.03933682454174341
refined_additional_results/data.transformed.no-cut.Full.txt.pretrained.1500e.10w.s80.tsv	67	44	0.04750763780197007
